{0000}	 Suffering from shock![2][0]
{0001}	CROCO: Yeouch![2][0]
{0002}	MALLOW: Gimme back my coin[2][1] or I’ll belt ya again![2][0]
{0003}	MALLOW: All right![2][1] We got it back![2][0]
{0004}	CROCO: Oooouch!!![2][1] I’m gonna pay ya back in spades, kid![2][0]
{0005}	 Go on![12][1] Take back your grubby old coin![2][0]
{0006}	 Adios amigos![2][0]
{0007}	BOWSER: What was that sound?[2][0]
{0008}	 N...n...NO!!![2][0]
{0009}	 It’s a chain reaction!![2][1] Hang on, Kinklink!![2][0]
{0010}	 Eyaaaaa!![2][0]
{0011}	BOWSER: Coming, Mario?[2][0]
{0012}	 This is IT![2][1] I’m gonna take you out, Mario![2][0]
{0013}	BOWSER: Fungah! Foiled again![2][0]
{0014}	TOADSTOOL: Mario! The chain![2][1] Aim for the chain![2][0]
{0015}	TOADSTOOL: Fight, Mario![2][1] FIGHT!!![2][0]
{0016}	BOWSER: This should FINISH you![2][0]
{0017}	TOADSTOOL: Oh, Mario![2][1] You had me so worried.[2][1] Let’s get out of here![2][0]
{0018}	TOADSTOOL: Shriek!! Mario!![3][1] I’m going to fall![2][0]
{0019}	BOWSER: Mwa ha! Did you think[2][1] I was just gonna GIVE her to ya?[2][0]
{0020}	 You’re ALWAYS in my way![2][0]
{0021}	BELOME: Ooooh![2][1] Room service has been kind to me![2][1] Where’s my bib?[2][0]
{0022}	BELOME: Stick for a body,[2][1] head full of straw, give me[2][1] a scarecrow, rah, rah, RAH![2][0]
{0023}	BELOME: If you defeat me,[2][1] you STILL won’t beat me![2][1] Beware the flood![2][0]
{0024}	TOADSTOOL: Don’t let Bowser[2][1] bruise you, Mario![2][0]
{0025}	BOWSER: Mario! Prepare yourself[2][1] for the great beyond![2][0]
{0026}	BOWSER: What a joke!![2][1] Put some muscle into it![2][0]
{0027}	BOWYER: Nya?![2][1] And who might you be?[2][0]
{0028}	???: I serve...a higher authority...[2][0]
{0029}	 That Star Piece belongs to everyone.[2][1] You can’t keep it.[2][0]
{0030}	BOWYER: Nya! NYA![2][1] Angry I am![2][0]
{0031}	 Nya![2][1] A lesson I will teach you![2][0]
{0032}	???: Hey! Chill out![2][0]
{0033}	MALLOW: Mario![2][1] It’s dangerous out there![2][0]
{0034}	 You’re gonna help, huh?[2][1] Whack that weirdo...[2][1] Save the guy in blue...[2][0]
{0035}	 Me too![2][1] I will do what I can![2][0]
{0036}	 But...from over here![2][0]
{0037}	 Mario... wait![2][0]
{0038}	 I’m NOT afraid.[2][1] And I’m NOT gonna cry![2][0]
{0039}	 Yeouch![2][0]
{0040}	???: Stop it! That’s enough.[2][0]
{0041}	BOWYER: Gunya! Nya!!![2][0]
{0042}	 Strong you are.[2][1] But stronger am I![2][1] Hurt you, I will![2][0]
{0043}	 So long, nya!![2][1] Part, now, we must![2][0]
{0044}	 Nya nya NYA!![2][0]
{0045}	???: Thanks for the help![2][1] But... who are you?[2][0]
{0046}	MALLOW: Mario! You just...[2][1] DITCHED me back there![2][0]
{0047}	 Huh? Don’t I know you?[2][1] You look... familiar![2][0]
{0048}	???: So! You’re THE Mario![2][1] WE know about you![2][0]
{0049}	BOWYER: Knock knock! Nya![2][1] Insulted, I am![2][0]
{0050}	BOWYER: NYAAA!![2][1] Now 3 against one![2][1] Nyat FAIR![2][1] Fix it, I will, nya![2][1] Shoot an arrow, I shall.[2][1] When a target it hits,[2][1] that Button... LOCKED![2][0]
{0051}	BELOME: C...can’t s...stand it![2][1] The hunger...the HUNGER![2][0]
{0052}	 That was SCARY![2][0]
{0053}	 It’s 1:00.Time to play.[2][0]
{0054}	 It’s 3:00. Time to RECOVER![2][0]
{0055}	 It’s 5:00.Time for a break, huh?[2][0]
{0056}	 It’s 6:00. Time to FULLY RECOVER.[2][0]
{0057}	 It’s 7:00. DINNER TIME.[2][0]
{0058}	 It’s 9:00. Guess I’ll break.[2][0]
{0059}	 It’s 10:00. Time to garden.[2][0]
{0060}	 It’s 12:00. It’s high noon.[2][0]
{0061}	CROCO: You want them back?[2][1] You’ve got to take me down first![2][0]
{0062}	CROCO: Yeouch! Enough already![2][1] Here’s your junk.[2][1] I’m outta here![2][0]
