{0000}	                     INN[6]
{0001}	                ITEM SHOP[6]
{0002}	             INN / ITEM SHOP[6]
{0003}	             MONSTRO TOWN[6]
{0004}	          TOADSTOOL'S ROOM[6]
{0005}	            BELOME TEMPLE[6]
{0006}	            GARRO'S HOUSE[6]
{0007}	              YO'STER ISLE[6]
{0008}	          MARRYMORE HOTEL[6]
{0009}	            BEETLES ARE US[6]
{0010}	      WEAPON AND ARMOR SHOP[6]
{0011}	                 BEDROOM[6]
{0012}	          HEALTH FOOD STORE[6]
{0013}	        MUSHROOM BOY'S SHOP[6]
{0014}	            ACCESSORY SHOP[6]
{0015}	               MELODY BAY[6]
{0016}	         GRATE GUY'S CASINO[6]
{0017}	               HINO MART[6]
{0018}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0019}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0020}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0021}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0022}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0023}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0024}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0025}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0026}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0027}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0028}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0029}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0030}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0031}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0032}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0033}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0034}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0035}	 Before Valentina came, fireworks[1] lit up the sky every night.[3] Some guy in Moleville would make[1] the fireworks.[2] I wonder if we'll ever get to[1] see them again...[0]
{0036}	 It's a marvelous statue,[1] isn't it?[0]
{0037}	 We can finally walk around the[1] castle and the town freely.[3] People from down under will[1] probably come too. That girl at the[1] entrance'll tell you who's here.[0]
{0038}	[4] Whoa! Congratulations![2] You deserve this![0]
{0039}	 It'll let you get into my brother's[1] Casino...wherever THAT is...[0]
{0040}	[4][1]                  Thanks![0]
{0041}	[4][1]                  Thanks![0]
{0042}	[4][1]                  Thanks![0]
{0043}	[4][1]                  Thanks![0]
{0044}	[4][1]                  Thanks![0]
{0045}	[4][1]                  Thanks![0]
{0046}	[4][1]                  Thanks![0]
{0047}	[4][1]                  Thanks![0]
{0048}	???: I'm so...lonely.[1] Will you play with me?[2] [7]  (Sure)[1] [7]  (Not now)[0]
{0049}	[1]    BIRDO: Don't forget about me![0]
{0050}	[4] Oh...[5] If you had played[1] with me, I was going to give you[1] the key to this room.[0]
{0051}	 This statue[12][12]...[12]it[12]...it seems[1] so...unworldly![0]
{0052}	 The King gave me another job as[1] a guard.[5][6]
{0053}	[1] ...Prince Mallow![0]
{0054}	MALLOW: Thank you so much![1] We were able to rescue my father[1] with the key you gave us.[0]
{0055}	 Don't mention it...[5][6]
{0056}	[1] Besides, it was YOU,[1] who actually rescued him![0]
{0057}	MALLOW:[1]        Good luck in the future![0]
{0058}	[1]                 You too![0]
{0059}	 Prince![0]
{0060}	 Here, this is from me.[2] Please, take it.[0]
{0061}	 I shall continue to work for the[1] King with pride.[0]
{0062}	[4] Eh hem...very well.[2] “FP”s are consumed during[1] battle when you use “Special”[1] attacks. For example...[3] A “Jump” attack uses 3 “FP”s.[2] When you “Jump”, your “FP” will[1] decrease by 3 each time. Run out,[1] and you can't use these attacks![3] An item called a “Flower” raises[1] your maximum “FP”s.[2] Recover “FP”s with syrups,[1] some mushrooms, and at inns.[0]
{0063}	[4] Eh hem...very well.[2] “FP”s are consumed during[1] battle when you use “Special”[1] attacks. For example...[3] A “Jump” attack uses 3 “FP”s.[2] When you “Jump”, your “FP” will[1] decrease by 3 each time. Run out,[1] and you can't use these attacks![3] An item called a “Flower” raises[1] your maximum “FP”s.[2] Recover “FP”s with syrups,[1] some mushrooms, and at inns.[0]
{0064}	 Hey! Did you just see[1] a crocodile around here?[1] He talks like a mobster wannabe.[5][6]
{0065}	[4] I'm sure he's up to no good![13][48][1] Hey, wait a sec!!![13][48][1] My wallet's gone![0]
{0066}	          Got a “[26]”![6]
{0067}	          Got a “[26]”![6]
{0068}	          Got a “[26]”![6]
{0069}	          Got a “[26]”![6]
{0070}	          Got a “[26]”![6]
{0071}	          Got a “[26]”![6]
{0072}	          Got a “[26]”![6]
{0073}	          Got a “[26]”![6]
{0074}	          Got a “[26]”![6]
{0075}	          Got a “[26]”![6]
{0076}	          Got a “[26]”![6]
{0077}	          Got a “[26]”![6]
{0078}	          Got a “[26]”![6]
{0079}	          Got a “[26]”![6]
